Code	ObjType	sf_AltName	ShortName	sf_Enum	sf_HierIndent	Notes	f_OutputFormNum	f_OutputFormTime	f_OutputFormText
rReservFin	PH	Нет	Окончание [Буфер]	Нет	Нет			По умолчанию	Лево
rCostPlan	PH	Нет	Общая стоимость [Критическая]	Нет	Нет			По умолчанию	Лево
rCostDiff	PH	Нет	Общая стоимость [Буфер]	Нет	Нет			По умолчанию	Лево
ProbTerm	PH	Нет	Окончание [Вероятность Три Сценария]	Нет	Нет			По умолчанию	Лево
ContFin	PH	Нет	Окончание [Директивное]	Нет	Нет			По умолчанию	Лево
CostContr	PH	Нет	Общая стоимость [Директивная]	Нет	Нет			По умолчанию	Лево
CostProb	PH	Нет	Общая стоимость [Вероятность Три Сценария]	Нет	Нет			По умолчанию	Лево
Fixed	PH	Нет	Фиксированная [для команд]	Нет	Нет			По умолчанию	Лево
UnitPercent	PH	Нет	Фиксированный объём / Фиксированный процент объёма [для команд]	Нет	Нет			По умолчанию	Лево
CalcDif	PH	Нет	Считать тренды отклонений	Нет	Нет			По умолчанию	Лево
NPV	PH	Нет	Чистый Дисконтированный Доход (ЧДД)	Нет	Нет			По умолчанию	Лево
NPV_Plan	PH	Нет	Чистый Дисконтированный Доход (ЧДД) [План]	Нет	Нет			По умолчанию	Лево
IRR	PH	Нет	Внутренняя Норма Доходности (ВНД)	Нет	Нет			По умолчанию	Лево
IRR_Plan	PH	Нет	Внутренняя Норма Доходности (ВНД) [План]	Нет	Нет			По умолчанию	Лево
MIRR	PH	Нет	Модифицированная Внутренняя Норма Доходности (МВНД)	Нет	Нет			По умолчанию	Лево
PayBackMoment	PH	Нет	Срок окупаемости	Нет	Нет			По умолчанию	Лево
ObjCode	PH	Нет	Код проекта	Нет	Нет			По умолчанию	Лево
SaveCode	PH	Нет	Код в исходном проекте	Нет	Нет			По умолчанию	Лево
ACWP	PH	Нет	ФСВР	Нет	Нет			По умолчанию	Лево
BCWP	PH	Нет	ПСВР	Нет	Нет			По умолчанию	Лево
BCWS	PH	Нет	ПСЗР	Нет	Нет			По умолчанию	Лево
CV	PH	Нет	ОСТ	Нет	Нет			По умолчанию	Лево
CV%	PH	Нет	ОСТ%	Нет	Нет			По умолчанию	Лево
SV	PH	Нет	ОСР	Нет	Нет			По умолчанию	Лево
SV%	PH	Нет	ОСР%	Нет	Нет			По умолчанию	Лево
CPI	PH	Нет	ИВСТ	Нет	Нет			По умолчанию	Лево
CPI%	PH	Нет	ИВСТ%	Нет	Нет			По умолчанию	Лево
SPI	PH	Нет	ИВСР	Нет	Нет			По умолчанию	Лево
SPI%	PH	Нет	ИВСР%	Нет	Нет			По умолчанию	Лево
f_PF	PH	Нет	КИ	Нет	Нет			По умолчанию	Лево
f_BAC	PH	Нет	БПЗ	Нет	Нет			По умолчанию	Лево
f_EAC	PH	Нет	ППЗ	Нет	Нет			По умолчанию	Лево
f_VAC	PH	Нет	ОПЗ	Нет	Нет			По умолчанию	Лево
f_VAC%	PH	Нет	ОПЗ%	Нет	Нет			По умолчанию	Лево
f_TCPI	PH	Нет	ИПЗ	Нет	Нет			По умолчанию	Лево
f_PSc	PH	Нет	З%	Нет	Нет			По умолчанию	Лево
f_PSp	PH	Нет	Ф%	Нет	Нет			По умолчанию	Лево
f_DeviationH	PH	Нет	Отклонение по срокам, Часы	Нет	Нет			По умолчанию	Лево
f_DeviationD	PH	Нет	Отклонение по срокам, Дни	Нет	Нет			По умолчанию	Лево
SumVol	PH	Нет	Суммировать объёмы / Ключевой объём	Нет	Нет			По умолчанию	Лево
